#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
039|damascene-bishop-and-hieromartyr-of-glukhov-and-those-with-him|Damascene, Bishop And Hieromartyr Of Glukhov  And Those With Him  ||||||||||||||||||||||||||||||
040|dometian-schema-bishop-and-hieroconfessor-of-tyumen|Dometian, Schema-Bishop And Hieroconfessor Of Tyumen||||||||||||||||||||||||||||||
041|eastern-siberia-hieromartyrs-martyrs-and-confessors|Hieromartyrs Of Eastern Siberia||||||||||||||||||||||||||||||
042|elisavettgrad-region-hieromartyrs-martyrs-and-confessors|Hieromartyrs, Martyrs And Confessors Of Elisavettgrad Region||||||||||||||||||||||||||||||
043|ephraim-bishop-and-hieromartyr-of-selenginsk|Hieromartyr Ephraim, Bishop Of Selenginsk||||||||||||||||||||||||||||||
044|eudocia-nun-martyr-of-diveyevo-and-those-with-her|Eudocia Nun-Martyr Of Diveyevo And Those With Her||||||||||||||||||||||||||||||
045|gabriel-archbishop-and-hieromartyr-of-vitebsk|Hieromartyr Gabriel, Archbishop Of Vitebsk||||||||||||||||||||||||||||||
046|gabriel-hieroconfessor-of-akkerman|Gabriel Hieroconfessor Of Akkerman||||||||||||||||||||||||||||||
047|gennadius-sekach-schema-metropolitan-01-of-06|Gennadius(Sekach), Schema-Metropolitan||||||||||||||||||||||||||||||
048|gideon-peter-nicetas-and-tiburtius-hieromartyrs-and-those-with-them|Gideon, Peter, Nicetas And Tiburtius ,Hieromartyrs And Those With Them||||||||||||||||||||||||||||||
049|gregory-bishop-and-hieromartyr-of-schlisselburg-and-those-with-him|Hieromartyr Gregory, Bishop Of Schlisselburg And Those With Him||||||||||||||||||||||||||||||
050|gurias-archbishop-and-hieromartyr-of-irkutsk|Hieromartyr Gurias, Archbishop Of Irkutsk||||||||||||||||||||||||||||||
051|habbakuk-bishop-and-hieromartyr-of-old-ufa|Hieromartyr Habbakuk, Bishop Of Old Ufa||||||||||||||||||||||||||||||
052|hermogenes-bishop-and-hieromartyr-of-tobolsk-and-those-with-him|Hieromartyr Hermogenes, Bishop Of Tobolsk And Those With Him||||||||||||||||||||||||||||||
053|hieroconfessor-benjamin-bishop-of-aksinsk-and-those-with-him|Hieroconfessor Benjamin, Bishop Of Aksinsk And Those With Him||||||||||||||||||||||||||||||
054|hieroconfessor-victor-archbishop-of-vyatka|Hieroconfessor Victor, Archbishop Of Vyatka||||||||||||||||||||||||||||||
055|hieromartyr-tikhon-patriarch-of-moscow-and-all-russia-01-of-03|Hieromartyr Tikhon, Patriarch Of Moscow And All Russia||||||||||||||||||||||||||||||
056|hierotheus-bishop-and-hieromartyr-of-veliky-ustiug-and-those-with-him-01-of-03|Hierotheus, Bishop And Hieromartyr Of Veliky Ustiug And Those With Him||||||||||||||||||||||||||||||
057|hilarion-archbishop-and-hieroconfessor-of-verey|Hilarion, Archbishop And Hieroconfessor Of Verey||||||||||||||||||||||||||||||
058|hilarion-bishop-and-hieromartyr-of-porech|Hilarion, Bishop And Hieromartyr Of Porech||||||||||||||||||||||||||||||
059|isaac-hieromartyr-of-optina-and-those-with-him|Isaac, Hieromartyr Of Optina  And Those With Him||||||||||||||||||||||||||||||
060|isidore-bishop-and-hieromartyr-of-mikhailov|Hieromartyr Isidore, Bishop Of Mikhailov||||||||||||||||||||||||||||||
061|james-vladimirov-hieromartyr-of-plotava-and-those-with-him|James (Vladimirov) Hieromartyr Of Plotava And Those With Him||||||||||||||||||||||||||||||
062|joachim-archbishop-and-hieromartyr-of-nizhny-novgorod-and-those-with-him|Hieromartyr Joachim, Archbishop Of Nizhny-Novgorod And Those With Him||||||||||||||||||||||||||||||
063|joanna-schema-abbess-of-suzdal|Joanna, Schema-Abbess Of Suzdal ||||||||||||||||||||||||||||||
064|joasaph-bishop-and-hieromartyr-of-bakhmut|Hieromartyr Joasaph, Bishop Of Bakhmut||||||||||||||||||||||||||||||
065|joasaph-bishop-and-hieromartyr-of-chistopol-and-those-with-him-01-of-03|Joasaph, Bishop And Hieromartyr Of Chistopol And Those With Him||||||||||||||||||||||||||||||
066|job-bishop-and-hieromartyr-of-ufa|Job, Bishop And Hieromartyr Of Ufa||||||||||||||||||||||||||||||
