#made from index.txt file
#1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24
#num|file|title|subtitle|subtitle2|year|cat|catnum|subcat|subcatnum|scripture|parable|miracle|txt|mp3|wma|rm|link|comment|synopsis|audiofirst|tooltip|indextitle|note|tag1|tag2|tag3|tag4|tag5|tag6|tag7|tag8|tag9
#1:num|2:file|3:title|4:subtitle|5:subtitle2|6:year|7:cat|8:catnum|9:subcat|10:subcatnum|11:scripture|12:parable|13:miracle|14:txt|15:mp3|16:wma|17:rm|18:link|19:comment|20:synopsis|21:audiofirst|22:tooltip|23:indextitle|24:note|25:tag1|26:tag2|27:tag3|28:tag4|29:tag5|30:tag6|31:tag7|32:tag8|33:tag9
045|elias_1|The Holy Prophet Elias (Elijah)||||||||||||||||||||||||||||||
046|christina_1|St Christina||||||||||||||||||||||||||||||
047|apostle-andrew|Apostle Andrew||||||||||||||||||||||||||||||
048|menaion_august_1|The August Menaion Volume 1||||||||||||||||||||||||||||||
049|menaion_august_2|The August Menaion Volume 2||||||||||||||||||||||||||||||
050|forgiveness_sunday_1|Forgiveness Sunday||||||||||||||||||||||||||||||
051|lenten_services_1|Lenten Services||||||||||||||||||||||||||||||
052|sunday_of_the_cross_1|The Sunday of the Holy Cross||||||||||||||||||||||||||||||
053|mary_of_egypt_1|St Mary of Egypt||||||||||||||||||||||||||||||
054|last_week_of_lent_1|The Last Week of Great Lent||||||||||||||||||||||||||||||
055|holy_week_1|Holy Week||||||||||||||||||||||||||||||
056|bright_week_1|Bright Week||||||||||||||||||||||||||||||
057|appearances_1|The appearances of the risen Christ||||||||||||||||||||||||||||||
058|myrhh_bearers_1|The Holy Myrhh-bearers (1)||||||||||||||||||||||||||||||
059|myrhh_bearers_2|The Holy Myrhh-bearers (2)||||||||||||||||||||||||||||||
060|samaritan_woman_1|The Samaritan Woman - 1||||||||||||||||||||||||||||||
061|samaritan_woman_2|The Samaritan Woman - 2||||||||||||||||||||||||||||||
062|theophany_1|Holy Theophany (The Baptism of Jesus Christ)||||||||||||||||||||||||||||||
063|ascension_1|The Ascension of Jesus Christ||||||||||||||||||||||||||||||
064|transfiguration_1|The Transfiguration of the Saviour||||||||||||||||||||||||||||||
065|transfiguration-scripture_1|Explanation of Scripture read on the Transfiguration of the Saviour||||||||||||||||||||||||||||||
066|pentecost_1|Pentecost||||||||||||||||||||||||||||||
067|altar_serving_1|Altar Serving||||||||||||||||||||||||||||||
068|symbol-of-faith-article-01|Part 1 - Introduction||||||||||||||||||||||||||||||
069|symbol-of-faith-article-02|Part 2 - Article 1||||||||||||||||||||||||||||||
070|symbol-of-faith-article-03-01|Light of Light, True God of True God, Begotten, not made; of one essence with the Father, by whom all things were made' ||||||||||||||||||||||||||||||
071|symbol-of-faith-article-03|Part 3 - Article 2||||||||||||||||||||||||||||||
072|symbol-of-faith-article-04-01|'Who for us men and for our salvation came down from the heavens, and was incarnate of the Holy Spirit and the Virgin Mary, and became man; '||||||||||||||||||||||||||||||
073|symbol-of-faith-article-05-01|'And was crucified for us under Pontius Pilate, and suffered and was buried; And rose again on the third day, according to the Scriptures;'||||||||||||||||||||||||||||||
074|symbol-of-faith-article-06-01|'And ascended into the heavens, and sitteth at the right hand of the Father.'||||||||||||||||||||||||||||||
075|symbol-of-faith-article-07-01|'And shall come again, with glory, to judge both the living and the dead, Whose kingdom shall have no end. .'||||||||||||||||||||||||||||||
076|symbol-of-faith-article-08-01|'And in the Holy Spirit, the Lord, the Giver of Life, Who proceedeth from the Father, Who with the Father and the Son together is worshiped and glorified, Who spake by the Prophets;  '||||||||||||||||||||||||||||||
077|symbol-of-faith-article-09-01|'In One Holy Catholic and Apostolic Church. '||||||||||||||||||||||||||||||
078|symbol-of-faith-article-10-01|'I Confess one Baptism for the remission of sins.'||||||||||||||||||||||||||||||
